index;p_err;d_err;i_err;rb_speed;U_control;angle
133;-0,9920651;0,2826554;-2,037734;25,63423;-2,529133;-0,0422
134;-0,9908278;0,2969005;-2,054251;25,7382;-2,462386;-0,041
135;-0,9895784;0,2997895;-2,070747;25,83058;-2,452032;-0,0409
136;-0,9882697;0,3140203;-2,087222;25,93585;-2,385123;-0,0398
137;-0,98695;0,3166662;-2,103674;26,02938;-2,375746;-0,0396
138;-0,9855742;0,3301246;-2,120104;26,13597;-2,312452;-0,0385
139;-0,9841727;0,3363032;-2,13651;26,23065;-2,285251;-0,0381
140;-0,9826951;0,3545529;-2,152891;26,33856;-2,197816;-0,0366
141;-0,9811799;0,3635776;-2,169247;26,43443;-2,156105;-0,0359
142;-0,9795797;0,3839583;-2,185577;26,5437;-2,057688;-0,0343
143;-0,9779342;0,3948423;-2,201879;26,64079;-2,00632;-0,0334
144;-0,9761974;0,4167677;-2,218152;26,75148;-1,899788;-0,0317
145;-0,9744093;0,4290533;-2,234396;26,84982;-1,840999;-0,0307
146;-0,9725243;0,4522945;-2,250608;26,96194;-1,727455;-0,0288
147;-0,970583;0,4658387;-2,266787;27,06157;-1,661921;-0,0277
148;-0,9685403;0,4901383;-2,282933;27,17517;-1,542612;-0,0257
149;-0,9664377;0,5045263;-2,299043;27,27611;-1,472368;-0,0245
150;-0,9642304;0,5296411;-2,315117;27,39124;-1,34848;-0,0225
151;-0,9619603;0,5447299;-2,331153;27,49352;-1,274215;-0,0212
152;-0,959582;0,5706742;-2,347149;27,61021;-1,145655;-0,0191
153;-0,9571382;0,5863782;-2,363104;27,71387;-1,067774;-0,0178
154;-0,9545834;0,6130375;-2,379017;27,83214;-0,935092;-0,0156
155;-0,9519609;0,6292849;-2,394886;27,93721;-0,8539333;-0,0142
156;-0,9492243;0,6566451;-2,41071;28,05711;-0,7171805;-0,012
157;-0,9464179;0,6733931;-2,426487;28,1636;-0,6329392;-0,0106
158;-0,9434948;0,7014112;-2,442215;28,28516;-0,492312;-0,0082
159;-0,9404999;0,7186311;-2,457893;28,39312;-0,4051131;-0,0068
160;-0,9373854;0,7473357;-2,473519;28,51636;-0,2604518;-0,0043
161;-0,9341972;0,7650133;-2,489092;28,62581;-0,1703491;-0,0028
162;-0,9309018;0,7907431;-2,504611;28,75076;-0,03987944;-0,0007
163;-0,9275315;0,8087067;-2,520072;28,86174;0,05224364;0,0009
164;-0,9240314;0,839857;-2,535476;28,98846;0,2103212;0,0035
165;-0,9204601;0,8569339;-2,55082;29,10081;0,2986955;0,005
166;-0,9167715;0,8850807;-2,566103;29,22931;0,442468;0,0074
167;-0,913004;0,9040169;-2,581322;29,34282;0,5407302;0,009
168;-0,9091203;0,9319206;-2,596478;29,47362;0,6839399;0,0114
169;-0,9051572;0,9509426;-2,611567;29,58891;0,7832765;0,0131
170;-0,9010547;0,9843956;-2,626587;29,72185;0,9547856;0,0159
171;-0,8968658;1,005148;-2,641538;29,83676;1,063466;0,0177
172;-0,8925599;1,033195;-2,656417;29,97518;1,208783;0,0202
173;-0,8881598;1,055835;-2,671222;30,08718;1,327548;0,0221
174;-0,8836736;1,076459;-2,685953;30,23156;1,436583;0,0239
175;-0,8790941;1,098857;-2,700608;30,34318;1,554749;0,0259
176;-0,8744398;1,116806;-2,715185;30,48959;1,651068;0,0275
177;-0,8696871;1,140419;-2,729682;30,60157;1,775869;0,0296
178;-0,8648471;1,161372;-2,744099;30,75073;1,887749;0,0315
179;-0,8598953;1,188188;-2,758434;30,864;2,029146;0,0338
180;-0,8548451;1,211816;-2,772684;31,01512;2,155027;0,0359
181;-0,8496806;1,239233;-2,786848;31,131;2,300128;0,0383
182;-0,84435;1,279094;-2,800924;31,28284;2,50761;0,0418
183;-0,8389058;1,306354;-2,814908;31,40134;2,652853;0,0442
184;-0,8333011;1,344841;-2,828799;31,55378;2,85442;0,0476
185;-0,8276255;1,361875;-2,842596;31,67452;2,949622;0,0492
186;-0,822012;1,346972;-2,856299;31,82837;2,885954;0,0481
187;-0,8165768;1,30418;-2,869911;31,95166;2,683184;0,0447
188;-0,8114157;1,238432;-2,883437;32,10577;2,365545;0,0394
189;-0,8065883;1,15834;-2,896883;32,23187;1,975648;0,0329
190;-0,8021302;1,069723;-2,910254;32,38556;1,542312;0,0257
191;-0,797925;1,009053;-2,923556;32,51538;1,247145;0,0208
192;-0,7939247;0,9598815;-2,93679;32,66792;1,008545;0,0168
193;-0,7900905;0,9200211;-2,949961;32,80164;0,8157515;0,0136
194;-0,7863967;0,886325;-2,96307;32,9523;0,6532018;0,0109
195;-0,7828191;0,8584642;-2,97612;33,08991;0,5193334;0,0087
196;-0,7793393;0,8349799;-2,989112;33,23845;0,4069495;0,0068
197;-0,7759423;0,8151141;-3,002047;33,37941;0,312328;0,0052
198;-0,7726184;0,7975938;-3,014926;33,52608;0,2291708;0,0038
199;-0,769357;0,7825764;-3,027751;33,66927;0,1582907;0,0026
200;-0,7661492;0,7697187;-3,040523;33,81468;0,09800849;0,0016
201;-0,7629871;0,7587489;-3,053242;33,95876;0,04699687;0,0008
202;-0,7598642;0,7493523;-3,065909;34,10328;0,003711314;0,0001
203;-0,756775;0,7412573;-3,078524;34,24713;-0,03318295;-0,0006
204;-0,753715;0,7342491;-3,091089;34,39062;-0,06473871;-0,0011
205;-0,7506803;0,728185;-3,103603;34,5334;-0,09165476;-0,0015
206;-0,7476676;0,7229074;-3,116066;34,67537;-0,114704;-0,0019
207;-0,7446749;0,7181019;-3,12848;34,81631;-0,1354438;-0,0023
208;-0,7416996;0,7139257;-3,140844;34,95601;-0,1530851;-0,0026
209;-0,7387395;0,7102786;-3,153159;35,09426;-0,1681188;-0,0028
210;-0,7357916;0,7073609;-3,165425;35,23083;-0,1795406;-0,003
211;-0,7328548;0,7046721;-3,177641;35,36657;-0,1898358;-0,0032
212;-0,7299286;0,7021549;-3,189809;35,50201;-0,1992866;-0,0033
213;-0,7270128;0,699652;-3,201929;35,63718;-0,2086748;-0,0035
214;-0,7241077;0,6970776;-3,214;35,77207;-0,2184276;-0,0036
215;-0,7212132;0,6945604;-3,226022;35,90672;-0,2279049;-0,0038
216;-0,7183287;0,6921433;-3,237997;36,04113;-0,2368923;-0,0039
217;-0,7154539;0,6898121;-3,249923;36,17532;-0,2454598;-0,0041
218;-0,7125887;0,6875094;-3,261802;36,30929;-0,2538918;-0,0042
219;-0,7097331;0,6852067;-3,273634;36,44307;-0,2623298;-0,0044
220;-0,7068869;0,6829327;-3,285418;36,57664;-0,2706318;-0,0045
221;-0,7040505;0,6806014;-3,297154;36,71003;-0,2792255;-0,0047
222;-0,7012238;0,6782844;-3,308844;36,84322;-0,2877545;-0,0048
223;-0,6984071;0,6758673;-3,320486;36,97623;-0,2967893;-0,0049
224;-0,6956007;0,6734074;-3,332082;37,10904;-0,306046;-0,0051
225;-0,6928045;0,6709474;-3,343631;37,24167;-0,3153117;-0,0053
226;-0,6900192;0,6683301;-3,355133;37,37411;-0,3253701;-0,0054
227;-0,687245;0,6656984;-3,36659;37,50636;-0,3355111;-0,0056
228;-0,684482;0,6629667;-3,378;37,63843;-0,3461616;-0,0058
229;-0,6817308;0,6601635;-3,389364;37,77031;-0,3571815;-0,006
230;-0,6789916;0,6572887;-3,400683;37,902;-0,3685709;-0,0061
231;-0,6762645;0,6543567;-3,411957;38,0335;-0,3802604;-0,0063
232;-0,6735502;0,6513104;-3,423185;38,16483;-0,3925349;-0,0065
